"","region","total_population","percent_white","percent_black","percent_asian","percent_hispanic","per_capita_income","median_rent","median_age"
"538",13305,30187,72,21,0,6,17270,404,37.4
"539",13307,2769,53,45,0,1,19082,295,39.7
"540",13309,7746,58,41,0,1,8948,266,36.7
"541",13311,27400,93,3,0,3,22059,553,43
"542",13313,102556,62,4,1,32,19497,519,34.3
"543",13315,9110,59,37,1,2,13228,298,40
"544",13317,10265,52,43,0,4,17120,316,43.8
"545",13319,9520,58,38,0,2,17228,343,40.8
"546",13321,21670,68,28,0,2,18551,371,39.6
"547",15001,187044,31,1,21,12,24635,884,40.7
"548",15003,964678,19,2,43,9,30361,1331,37.4
"549",15005,71,46,0,17,4,45515,850,53.8
"550",15007,67872,30,0,34,10,26658,1067,41.6
"551",15009,156633,32,0,26,10,29517,1155,39.8
"552",16001,401673,86,1,3,7,27452,712,35.2
"553",16003,3937,94,0,0,2,21555,444,51
"554",16005,83091,86,1,1,7,21327,521,32.1
"555",16007,5957,94,0,1,4,21853,419,40.1
"556",16009,9186,85,2,1,3,20198,461,45.3
"557",16011,45485,75,0,1,17,18872,480,32.3
"558",16013,21294,78,0,1,20,35524,824,41.6
"559",16015,6944,93,0,0,4,24324,507,49.6
"560",16017,40743,94,0,1,2,23221,568,46
"561",16019,105580,85,1,1,12,22657,567,32
"562",16021,10866,92,0,0,4,19877,540,42.8
"563",16023,2786,91,1,0,4,20995,396,42.6
"564",16025,1267,83,0,0,16,21830,530,37.8
"565",16027,192153,72,0,1,24,17755,594,32
"566",16029,6867,94,0,0,5,23586,386,37.9
"567",16031,23054,72,0,1,25,17801,428,32
"568",16033,751,53,0,0,47,20032,358,37
"569",16035,8638,92,0,1,3,20256,506,49.7
"570",16037,4331,96,0,0,2,23965,342,49.1
"571",16039,26528,75,2,3,16,20646,572,30.3
"572",16041,12801,92,0,0,7,17620,492,32.2
"573",16043,13088,85,0,0,13,19475,475,34.3
"574",16045,16722,89,0,1,8,20250,573,42.7
"575",16047,15278,69,0,0,28,18373,488,35.6
"576",16049,16269,92,0,0,3,19168,458,48.4
"577",16051,26389,87,0,0,10,19598,514,30.5
"578",16053,22391,66,0,0,32,17182,537,31.5
"579",16055,140785,92,0,1,4,24685,683,39.2
"580",16057,37636,91,0,2,4,22322,585,28.5
"581",16059,7853,94,0,1,3,23998,397,50.3
"582",16061,3851,88,0,0,4,19910,413,47.9
"583",16063,5221,69,0,0,28,16530,527,33.3
"584",16065,37542,90,1,1,6,15133,585,22.9
"585",16067,20104,65,0,0,33,19597,405,35.4
"586",16069,39458,88,0,1,3,24257,530,41.2
"587",16071,4257,95,0,0,2,18920,364,38.9
"588",16073,11474,69,0,0,26,15945,409,36
"589",16075,22629,81,0,0,15,19165,510,38.1
"590",16077,7756,65,0,0,30,17684,453,34.1
"591",16079,12729,93,0,1,3,20487,464,46.8
"592",16081,10141,83,0,0,17,22436,697,34.5
"593",16083,78067,82,1,1,14,20588,581,34.6
"594",16085,9698,94,0,0,4,25785,586,47.6
"595",16087,10094,79,0,1,17,20380,441,44.3
"596",17001,67152,93,4,1,1,24217,425,40.6
"597",17003,7980,60,35,0,2,13619,274,41.2
"598",17005,17665,88,2,1,3,23195,459,40
"599",17007,54068,75,2,1,20,25888,600,37.3
"600",17009,6904,78,14,1,5,20555,421,37.3
"601",17011,34594,90,1,1,8,26705,455,43
"602",17013,5062,98,0,0,0,26924,367,45.1
"603",17015,15199,94,1,0,3,27118,386,47
"604",17017,13530,78,3,0,18,22257,424,39.1
"605",17019,202428,70,12,9,5,25713,658,29.1
"606",17021,34651,95,2,1,1,23915,424,41.7
"607",17023,16284,97,0,0,1,24296,388,43.1
"608",17025,13744,97,1,1,0,22279,335,43.2
"609",17027,37891,92,3,1,3,27802,498,40
"610",17029,53732,91,4,1,2,21970,468,32
"611",17031,5212372,44,24,6,24,30183,847,35.5
"612",17033,19707,92,3,0,2,25214,390,42
"613",17035,11015,98,0,1,1,22952,370,40.2
"614",17037,104820,79,6,2,10,23696,707,29.6
"615",17039,16511,96,1,0,2,26704,425,42.2
"616",17041,19902,92,0,1,6,23732,498,38.3
"617",17043,922803,70,4,10,14,38570,986,38.4
"618",17045,18339,98,0,1,1,23368,393,43.4
"619",17047,6695,97,0,0,1,20898,331,43.4
"620",17049,34274,97,0,0,2,27051,430,39.6
"621",17051,22088,93,2,1,2,21523,384,39.8
"622",17053,13991,96,0,0,2,25448,423,42.6
"623",17055,39470,97,0,0,1,20394,391,41.7
"624",17057,36829,93,3,0,3,22318,456,42.3
"625",17059,5516,97,0,0,0,23862,249,45.1
"626",17061,13778,97,1,0,1,22307,403,41.9
"627",17063,50064,89,1,0,8,28725,772,36.7
"628",17065,8413,98,1,0,1,21960,335,43.3
"629",17067,18949,97,0,0,1,23714,407,45.1
"630",17069,4273,94,1,1,0,22366,212,47.1
"631",17071,7186,96,0,0,1,25902,385,48
"632",17073,50260,91,2,0,5,27117,446,41.8
"633",17075,29446,92,1,0,6,25098,466,43.4
"634",17077,60055,75,14,3,4,20527,504,29.4
"635",17079,9680,98,0,0,1,24174,333,43.3
"636",17081,38769,87,8,1,2,22620,419,40.6
"637",17083,22850,97,0,1,1,25467,469,41.4
"638",17085,22602,95,0,0,3,29675,480,47.4
"639",17087,12665,87,9,0,2,18763,407,42.2
"640",17089,518380,59,5,3,31,30082,854,35.1
"641",17091,112991,73,15,1,9,23779,647,36.9
"642",17093,116366,74,6,3,16,31276,1050,33.4
"643",17095,52545,85,8,1,5,22093,432,41.8
"644",17097,702099,65,7,6,20,38018,897,37
"645",17099,113295,88,2,1,8,25709,519,41.3
"646",17101,16702,73,20,0,5,14147,357,39.8
"647",17103,35535,88,5,1,5,25409,487,41.5
"648",17105,38687,89,6,0,4,24952,475,40.9
"649",17107,30177,81,12,1,3,21445,440,39.5
"650",17109,32549,88,5,2,3,20042,534,29.5
"651",17111,308060,83,1,3,12,32341,913,38.4
"652",17113,171240,81,7,4,5,30460,627,32.2
"653",17115,110262,78,16,1,2,26232,500,40.2
"654",17117,47462,97,1,0,1,24658,432,41.9
"655",17119,268373,86,8,1,3,27407,583,38.8
"656",17121,39070,92,3,1,2,21887,419,41.5
"657",17123,12454,95,1,0,3,25975,427,45.5
"658",17125,14508,97,1,0,1,23199,407,44.6
"659",17127,15282,90,6,0,0,22047,392,42.8
"660",17129,12687,97,1,0,1,28330,424,43.2
"661",17131,16325,97,0,0,2,26620,404,44
"662",17133,33181,97,0,0,1,31758,664,40.7
"663",17135,29878,88,8,1,2,19917,440,41.9
"664",17137,35424,90,6,0,2,24337,450,41
"665",17139,14869,98,0,0,1,23786,438,41.3
"666",17141,53092,88,1,1,9,26635,521,41
"667",17143,187117,72,18,3,4,28438,555,36.7
"668",17145,22182,87,9,0,3,19716,374,40.2
"669",17147,16620,97,0,0,1,31190,534,42.9
"670",17149,16337,96,1,0,1,21344,337,42.3
"671",17151,4383,92,4,0,3,20448,316,48.2
"672",17153,6035,63,33,0,2,19867,293,43.5
"673",17155,5927,94,0,0,5,27074,487,45
"674",17157,33218,86,10,0,3,21976,449,41.4
"675",17159,16213,96,0,1,1,23621,392,43.1
"676",17161,147477,75,9,2,12,26455,534,40
"677",17163,268939,63,30,1,3,26234,574,37.3
"678",17165,24950,92,4,1,1,21596,376,41.8
"679",17167,198269,82,12,2,2,29974,563,39.5
"680",17169,7490,96,1,0,2,23656,413,44.1
"681",17171,5288,99,0,0,0,24471,317,43.2
"682",17173,22266,98,0,0,1,23069,416,43.9
"683",17175,5942,97,0,0,1,26843,377,44.8
"684",17177,47315,85,9,1,3,23350,448,43.7
"685",17179,135747,95,1,1,2,28037,529,40.1
"686",17181,17722,92,2,0,5,21719,352,43.2
"687",17183,81147,80,13,1,4,21225,433,39.8
"688",17185,11848,96,0,1,1,24096,400,42.5
"689",17187,17762,87,2,1,9,21832,411,39.7
"690",17189,14626,97,1,0,1,26325,399,42.5
"691",17191,16674,97,0,1,1,22526,325,42.5
"692",17193,14630,97,1,0,1,25375,329,44.5
"693",17195,58150,86,1,0,11,24525,477,42.1
"694",17197,679688,67,11,5,16,30377,831,35.8
"695",17199,66606,91,4,1,2,23605,458,40.8
"696",17201,293384,72,12,2,11,24495,588,38.8
"697",17203,38903,96,1,1,2,30926,518,40.3
"698",18001,34424,94,1,0,4,20160,444,34.3
"699",18003,358324,76,12,3,7,25279,542,35.5
"700",18005,77930,86,2,4,6,27359,626,37.9
"701",18007,8823,93,1,0,5,23049,501,40.2
"702",18009,12665,97,0,0,1,20322,413,41.9
"703",18011,58009,93,1,2,2,37482,636,38.7
"704",18013,15128,96,0,0,1,25833,613,48
"705",18015,20109,95,1,0,4,24531,461,41.3
"706",18017,38802,83,2,1,13,21700,456,39
"707",18019,111221,85,7,1,5,24312,586,38.3
"708",18021,26865,97,0,0,1,21474,480,40.8
"709",18023,33086,85,1,0,14,21554,513,37.9
"710",18025,10656,97,0,0,1,20504,337,42.1
"711",18027,31928,94,1,1,4,21416,414,35.5
"712",18029,49975,97,1,0,1,27058,579,40.9
"713",18031,25939,96,0,1,2,22046,530,39.1
"714",18033,42253,96,0,1,3,22827,502,38
"715",18035,117575,88,5,1,2,20854,528,34.8
"716",18037,42103,92,0,0,6,25589,465,40.5
"717",18039,198662,77,6,1,14,21109,601,35.1
"718",18041,24112,96,1,0,1,18757,471,41.5
"719",18043,75120,89,5,1,3,27185,574,39.2
"720",18045,17108,96,0,0,2,23063,443,42.2
"721",18047,23042,98,0,0,1,24085,471,40.2
"722",18049,20698,93,1,0,4,21226,444,40.7
"723",18051,33514,95,2,0,1,24258,428,40.2
"724",18053,69671,86,7,1,4,20516,456,39.9
"725",18055,33001,97,0,0,1,22235,404,41.7
"726",18057,282977,86,3,5,4,39521,822,35.8
"727",18059,70466,94,2,1,2,28111,658,39.4
"728",18061,39213,96,1,1,2,23244,508,41
"729",18063,148623,88,5,2,3,29830,743,37
"730",18065,49275,95,2,0,2,20309,463,42.1
"731",18067,82795,87,7,1,3,24071,500,41
"732",18069,37044,96,0,1,2,22601,502,39.8
"733",18071,42769,91,0,1,6,22568,518,38.7
"734",18073,33398,92,1,0,5,24297,540,38.2
"735",18075,21333,96,0,0,3,19236,368,39.1
"736",18077,32449,94,2,1,2,21524,488,41
"737",18079,28324,96,1,0,2,20109,474,38.4
"738",18081,141796,92,2,2,3,28575,681,37.1
"739",18083,38266,94,3,0,2,21047,440,39.2
"740",18085,77527,90,1,1,8,24881,529,38.1
"741",18087,37463,95,0,0,4,19356,501,30.6
"742",18089,494250,55,25,1,17,23918,646,37.6
"743",18091,111310,81,11,1,6,22852,556,39.4
"744",18093,46053,96,0,1,1,22169,440,41.2
"745",18095,131027,86,7,0,3,21527,518,39.4
"746",18097,912242,59,27,2,9,24124,627,34
"747",18099,47057,89,1,1,9,21933,508,38.4
"748",18101,10269,98,0,1,0,22817,375,42.6
"749",18103,36624,90,5,0,2,20475,440,40.1
"750",18105,139634,86,3,6,3,23032,679,27.9
"751",18107,38215,93,1,0,5,22679,499,39.8
"752",18109,69217,97,0,1,1,25781,590,40.4
"753",18111,14151,93,0,0,5,25594,509,42.7
"754",18113,47509,88,0,1,10,21889,494,37.4
"755",18115,6075,97,1,0,2,25443,533,44.4
"756",18117,19829,96,2,0,1,18576,390,40.2
"757",18119,21467,97,0,1,1,21318,486,43
"758",18121,17210,95,3,0,1,20534,421,41.5
"759",18123,19450,95,3,0,1,20934,422,40.8
"760",18125,12780,99,0,0,0,22245,359,42.9
"761",18127,165168,85,3,1,9,28669,722,38.8
"762",18129,25713,97,1,0,1,29187,468,42
"763",18131,13253,95,0,0,3,21641,437,41.8
"764",18133,37799,92,4,1,2,21520,492,37.7
"765",18135,25975,95,0,0,3,21592,419,41.2
"766",18137,28636,97,0,1,2,22059,480,40
"767",18139,17257,97,1,0,1,23396,444,40.7
"768",18141,266694,75,13,2,8,23509,591,36.4
"769",18143,24035,97,1,0,2,20481,535,39.4
"770",18145,44511,93,1,1,4,24459,553,40
"771",18147,20960,96,1,0,3,23641,381,42.5
"772",18149,23267,95,0,0,3,19773,472,41.2
"773",18151,34190,91,1,0,3,23975,528,40.5
"774",18153,21321,93,5,0,2,19821,411,39.9
"775",18155,10534,97,0,0,1,20019,521,40.6
"776",18157,175628,80,4,7,8,23691,650,28
"777",18159,15834,96,0,0,2,25093,497,42.7
"778",18161,7420,97,0,0,0,20883,418,41
"779",18163,180233,85,9,1,2,24378,538,37.6
"780",18165,16098,97,0,0,1,22875,378,41.7
"781",18167,108084,87,6,2,2,21192,514,36
"782",18169,32650,95,1,0,2,21201,440,41.9
"783",18171,8464,97,0,0,1,27390,480,43.2
"784",18173,60163,94,1,1,2,29927,572,40
"785",18175,28064,97,0,0,1,21370,440,39.7
"786",18177,68557,89,4,1,3,21114,472,40.6
"787",18179,27707,96,0,1,2,24269,466,40.9
"788",18181,24542,91,0,0,7,23666,486,42.3
"789",18183,33274,96,1,0,2,24613,502,40.3
"790",19001,7588,97,0,0,1,25564,358,45.6
"791",19003,3973,97,0,0,1,23707,346,46.9
"792",19005,14242,92,0,0,6,24926,373,44.4
"793",19007,12808,96,0,0,2,21599,382,44.6
"794",19009,6002,98,0,0,1,30919,341,47.1
"795",19011,25971,97,0,0,1,26624,436,40.4
"796",19013,131468,84,9,1,4,24273,550,34.6
"797",19015,26310,96,1,1,2,27149,488,40.7
"798",19017,24387,96,2,0,1,28727,467,38.5
"799",19019,20954,97,1,0,1,27038,459,39.1
"800",19021,20350,66,2,5,24,22899,442,36.5
"801",19023,14909,98,0,0,1,25269,420,43.5
"802",19025,9952,96,1,0,1,25766,356,47.4
"803",19027,20732,96,1,0,2,25430,409,42.2
"804",19029,13793,96,0,0,2,25448,401,44.8
"805",19031,18452,96,0,0,2,26567,486,42.8
"806",19033,43932,92,1,1,4,27291,462,43.9
"807",19035,12013,95,0,0,3,26330,362,47.2
"808",19037,12379,96,0,0,2,24139,381,43.2
"809",19039,9311,88,1,0,11,23472,443,41
"810",19041,16604,95,0,1,3,29060,442,42.6
"811",19043,17990,97,0,0,2,25074,389,45
"812",19045,48896,92,3,1,3,25966,446,41.8
"813",19047,17205,73,1,0,26,22748,389,39.1
"814",19049,69526,88,1,3,6,35844,699,34.4
"815",19051,8755,98,0,0,1,22210,383,38
"816",19053,8308,94,2,1,2,18845,348,38.3
"817",19055,17665,98,0,0,1,26261,386,41.9
"818",19057,40301,89,5,0,3,24408,455,41.8
"819",19059,16818,97,0,0,1,31790,475,48.4
"820",19061,94411,93,1,1,2,26254,540,38.8
"821",19063,10141,89,1,0,8,27908,420,40.5
"822",19065,20822,95,1,0,2,23391,373,42.6
"823",19067,16177,94,2,0,2,24590,378,43.7
"824",19069,10623,87,0,0,11,26102,409,43.4
"825",19071,7291,96,0,0,3,26930,400,46
"826",19073,9255,96,0,0,2,26205,389,45.1
"827",19075,12416,98,0,0,1,31164,413,42.3
"828",19077,10843,96,1,0,2,28030,375,45.1
"829",19079,15486,91,0,2,5,24510,438,42
"830",19081,11243,95,0,0,4,25814,437,44.8
"831",19083,17453,94,1,1,4,25153,400,44
"832",19085,14729,97,0,0,1,26184,437,43.1
"833",19087,20188,89,2,2,4,22687,430,40.3
"834",19089,9560,97,1,0,1,24286,383,42.2
"835",19091,9776,95,0,0,4,26746,424,44.1
"836",19093,7099,97,0,1,2,25869,295,44.5
"837",19095,16323,96,0,0,2,28068,403,42.1
"838",19097,19737,97,0,0,1,24493,418,44.1
"839",19099,36710,96,1,0,2,24905,513,42.1
"840",19101,16800,85,1,7,3,27593,445,44.3
"841",19103,134034,83,5,6,5,29592,709,29.5
"842",19105,20637,95,2,0,1,26762,423,43.1
"843",19107,10428,97,1,0,1,22243,363,44
"844",19109,15437,97,0,0,2,29127,383,46.8
"845",19111,35736,91,3,1,3,22649,408,42.8
"846",19113,213425,89,4,2,3,29943,559,36.9
"847",19115,11348,81,1,1,16,24272,424,39.7
"848",19117,8840,98,0,0,1,21126,348,44.3
"849",19119,11659,97,0,0,2,23683,382,38
"850",19121,15606,97,0,0,1,27685,510,40.1
"851",19123,22428,95,1,1,2,23788,450,39.3
"852",19125,33318,95,1,1,2,25477,533,38.6
"853",19127,40800,77,2,2,18,24117,491,38.9
"854",19129,14983,95,1,0,3,27101,553,41.8
"855",19131,10739,98,0,0,1,24518,373,44.6
"856",19133,9208,96,0,0,1,24557,400,46.8
"857",19135,8010,96,0,1,2,24508,384,42.3
"858",19137,10625,95,0,0,3,22868,416,45.2
"859",19139,42798,80,1,1,16,25038,535,38.2
"860",19141,14249,94,0,1,4,28086,387,44
"861",19143,6335,92,0,0,6,24653,408,43.7
"862",19145,15838,92,2,1,3,23496,384,43.8
"863",19147,9352,96,0,0,2,25055,353,42.9
"864",19149,24923,95,0,0,3,27942,462,42.4
"865",19151,7243,96,1,0,3,25556,358,47.4
"866",19153,438307,80,6,4,8,30442,681,34.8
"867",19155,92962,89,1,1,7,25847,600,38.6
"868",19157,18804,93,1,2,3,25318,468,40.9
"869",19159,5107,99,0,0,1,23324,297,46
"870",19161,10227,96,1,0,2,26350,382,46.5
"871",19163,167080,82,8,2,6,28948,571,37.4
"872",19165,12088,96,0,1,2,26387,414,46.2
"873",19167,34050,89,0,1,9,24324,445,33.2
"874",19169,90750,87,2,6,3,25986,642,26.5
"875",19171,17661,84,0,0,7,25311,433,42.2
"876",19173,6256,92,0,1,7,23793,332,44.4
"877",19175,12547,96,1,0,2,23007,415,41.3
"878",19177,7517,97,0,0,1,21368,303,44.1
"879",19179,35469,87,1,1,9,22699,446,39.8
"880",19181,46631,96,1,0,2,29088,609,38.8
"881",19183,21834,92,1,1,5,26459,502,42
"882",19185,6382,97,0,0,1,22127,280,45.3
"883",19187,37626,90,4,1,4,24203,448,40
"884",19189,10732,94,1,1,3,24547,393,43.8
"885",19191,21038,96,1,1,2,25062,454,40.6
"886",19193,102155,77,3,2,14,23269,517,35.3
"887",19195,7562,96,1,0,2,26187,368,44
"888",19197,13092,89,0,0,10,25827,406,44.6
"889",20001,13318,92,2,1,3,20552,368,40.9
"890",20003,8021,95,0,0,0,22139,445,42.3
"891",20005,16839,89,4,0,3,21909,411,36.1
"892",20007,4898,95,0,0,3,26229,357,46.1
"893",20009,27602,83,1,0,14,25800,384,39.8
"894",20011,15004,92,3,1,2,19340,383,37.9
"895",20013,9969,84,1,1,3,21046,341,41.8
"896",20015,65786,91,2,1,4,27329,504,37.5
"897",20017,2763,93,1,0,4,21775,304,45.8
"898",20019,3614,89,1,0,3,21245,341,48.7
"899",20021,21361,89,0,0,2,19580,367,40.5
"900",20023,2708,93,0,1,6,23677,300,49.6
"901",20025,2188,85,1,1,10,25385,381,43.9
"902",20027,8500,95,1,0,2,24503,555,44.3
"903",20029,9419,94,0,1,3,20467,357,42
"904",20031,8516,95,0,0,2,27627,388,44
"905",20033,1905,94,0,1,4,21041,274,44.9
"906",20035,36232,82,3,2,9,21519,425,38.4
"907",20037,39182,89,2,1,5,20974,488,32.9
"908",20039,2933,96,1,0,1,27154,334,52.2
"909",20041,19734,92,0,0,4,23895,423,41.5
"910",20043,7905,91,3,1,2,22713,370,38.3
"911",20045,112210,81,4,4,5,26342,686,28.6
"912",20047,2998,79,1,1,19,24714,319,44.2
"913",20049,2782,93,0,1,3,20322,249,49.5
"914",20051,28746,91,1,1,5,24291,490,31.5
"915",20053,6454,87,4,0,5,22789,358,44
"916",20055,36920,46,2,4,47,21629,491,30.6
"917",20057,34217,43,2,1,52,19994,474,30.3
"918",20059,25870,92,1,0,4,22979,515,39
"919",20061,35583,60,16,3,13,21408,785,26.8
"920",20063,2835,97,1,0,1,26233,354,45.8
"921",20065,2604,90,3,0,3,28146,309,49.7
"922",20067,7869,53,0,0,45,26370,387,33.6
"923",20069,6012,84,0,0,15,25537,394,35.1
"924",20071,1202,82,1,0,15,32650,292,49.9
"925",20073,6582,93,0,0,3,22280,308,47
"926",20075,2645,70,0,0,29,24510,382,37.8
"927",20077,5951,92,0,0,5,22820,370,43.5
"928",20079,34722,84,1,1,11,23775,477,38.5
"929",20081,4219,70,0,1,28,25114,506,34.7
"930",20083,1946,89,0,0,10,30440,324,48
"931",20085,13430,85,1,0,4,24117,467,41.3
"932",20087,18971,95,0,0,2,26280,479,43.1
"933",20089,3061,96,0,0,2,23134,291,51.8
"934",20091,552947,82,4,4,7,38827,773,36.5
"935",20093,3956,67,0,0,29,22292,406,35.7
"936",20095,7860,95,0,0,3,24026,432,45
"937",20097,2527,92,1,0,5,23232,348,41.8
"938",20099,21369,85,4,0,4,22394,350,40.7
"939",20101,1616,91,0,0,7,31694,377,46.2
"940",20103,77002,80,8,2,6,27017,669,37.2
"941",20105,3199,96,0,1,2,23686,296,46.4
"942",20107,9580,95,1,0,2,26224,406,44.5
"943",20109,2775,93,0,4,1,25328,380,44.4
"944",20111,33624,73,1,2,20,19789,442,32.2
"945",20113,29297,93,1,1,4,27462,477,41.8
"946",20115,12491,94,1,0,3,22269,376,44.5
"947",20117,10057,96,0,1,2,25262,328,45
"948",20119,4486,83,1,1,14,21990,402,39.2
"949",20121,32682,93,1,0,3,28412,566,40.2
"950",20123,6368,97,0,0,2,26911,315,43.8
"951",20125,34869,81,6,1,6,21332,409,39.7
"952",20127,5869,93,0,0,4,24680,397,47.4
"953",20129,3182,75,1,2,20,22378,333,41.1
"954",20131,10149,96,1,0,1,24550,333,42.1
"955",20133,16477,91,1,0,4,21163,383,40.2
"956",20135,3095,90,0,0,8,30223,352,51.6
"957",20137,5640,90,3,0,3,22942,355,44.6
"958",20139,16260,95,0,0,2,24789,435,42.7
"959",20141,3846,97,0,1,1,26313,297,47.9
"960",20143,6078,95,0,0,2,26614,403,42.4
"961",20145,6971,86,5,0,7,23230,315,43.1
"962",20147,5573,94,0,0,2,23772,315,45.5
"963",20149,22009,91,1,1,5,24892,538,34.7
"964",20151,9730,90,1,0,6,26209,438,39.6
"965",20153,2545,94,0,0,4,26897,349,50.8
"966",20155,64319,86,3,1,8,23382,470,39.5
"967",20157,4919,97,0,0,1,25531,299,50.7
"968",20159,10055,85,1,0,10,23068,369,37.5
"969",20161,73243,79,6,5,7,22948,732,24.5
"970",20163,5189,96,0,1,1,23768,351,44.5
"971",20165,3233,96,1,0,1,24175,312,48.7
"972",20167,6945,95,1,0,2,24683,370,47.1
"973",20169,55633,82,3,2,10,24935,502,37.8
"974",20171,4930,83,0,0,15,26274,524,43.1
"975",20173,500768,70,9,4,13,25603,532,34.4
"976",20175,23146,35,3,3,57,19015,504,29.2
"977",20177,178378,75,8,1,11,26057,537,38.5
"978",20179,2553,91,0,0,4,26841,315,46.6
"979",20181,6063,85,2,0,11,21476,396,38.7
"980",20183,3790,96,0,0,1,26811,277,50.4
"981",20185,4391,85,0,0,13,23240,319,45.3
"982",20187,2210,55,1,0,41,21712,383,34.6
"983",20189,5713,65,0,0,33,24950,453,34.5
"984",20191,23884,91,0,0,5,22972,391,40.2
"985",20193,7902,92,1,0,5,26903,388,35.6
"986",20195,2981,96,0,0,2,23095,462,46.5
"987",20197,7050,94,1,0,3,24199,451,41.5
"988",20199,1568,92,0,0,8,25429,275,42.7
"989",20201,5763,95,1,0,3,22621,278,46.2
"990",20203,2231,71,0,0,28,23799,394,39.3
"991",20205,9269,94,0,1,3,19929,346,44
"992",20207,3278,95,0,0,2,21774,298,48.5
"993",20209,158348,43,25,3,27,18957,545,33.1
"994",21001,18696,94,2,0,2,17371,338,39.9
"995",21003,20123,96,1,0,2,19086,361,39.6
"996",21005,21575,95,3,0,1,24161,551,38.5
"997",21007,8282,94,4,0,1,24781,340,41.7
"998",21009,42504,91,4,1,3,19745,404,39.8
"999",21011,11732,96,2,0,1,16367,381,40.4
"1000",21013,28409,95,2,0,1,15091,345,40.9
"1001",21015,121214,89,3,2,4,29235,733,36
"1002",21017,19999,85,7,0,7,22893,461,40.4
"1003",21019,49314,94,2,0,1,24530,436,41.5
"1004",21021,28701,87,6,1,3,22249,450,41.1
"1005",21023,8472,99,0,0,1,20918,383,40.4
"1006",21025,13776,98,1,0,1,14706,331,40.3
"1007",21027,20059,95,2,0,1,18101,352,41.9
"1008",21029,75250,96,1,0,1,24308,598,38.5
"1009",21031,12746,95,0,0,3,18136,366,40.3
"1010",21033,12946,92,5,0,2,20327,331,42.6
"1011",21035,37383,90,4,2,2,21490,413,33.8
"1012",21037,90606,93,3,1,2,26945,582,37
"1013",21039,5064,96,1,0,2,21500,354,42.3
"1014",21041,10902,89,2,1,7,19429,503,36.3
"1015",21043,27493,97,1,0,1,19204,374,39.3
"1016",21045,16006,96,1,0,3,15603,313,41.7
"1017",21047,74169,68,20,1,7,19773,530,28.7
"1018",21049,35608,91,5,0,3,24524,538,40.7
"1019",21051,21633,93,5,0,1,13542,322,37.7
"1020",21053,10210,96,1,0,2,16795,334,40.8
"1021",21055,9283,97,1,0,1,21375,306,42.4
"1022",21057,6842,95,3,0,0,17697,258,43.7
"1023",21059,97230,90,5,1,3,22963,478,39.2
"1024",21061,12148,97,2,0,1,19481,337,42.2
"1025",21063,7784,96,3,0,1,14040,288,41.4
"1026",21065,14601,98,0,0,0,16435,360,42.1
"1027",21067,300843,73,14,4,7,29251,629,33.9
"1028",21069,14435,96,1,0,1,19304,360,40.6
"1029",21071,39448,98,1,0,1,17716,414,39.9
"1030",21073,49390,83,10,1,3,26243,530,40.2
"1031",21075,6650,72,23,1,1,18602,312,42.8
"1032",21077,8525,92,1,1,5,19020,499,38.3
"1033",21079,16896,94,3,0,2,21341,429,41.3
"1034",21081,24685,95,1,0,2,19829,540,36
"1035",21083,37329,88,4,0,6,20746,366,40.4
"1036",21085,25833,96,1,0,1,19115,380,39.5
"1037",21087,11252,95,2,0,1,17984,333,43.8
"1038",21089,36822,97,1,0,1,22035,437,42.3
"1039",21091,8608,96,1,0,1,22686,381,41.5
"1040",21093,106211,77,11,2,5,24147,570,35.4
"1041",21095,29012,95,3,0,1,16257,314,40.8
"1042",21097,18693,94,2,0,2,21424,395,41.2
"1043",21099,18345,92,5,0,1,17273,365,40.5
"1044",21101,46303,88,7,0,2,22746,473,39.4
"1045",21103,15425,92,3,0,3,21923,479,40.6
"1046",21105,4834,88,8,1,2,19292,313,45.9
"1047",21107,46810,89,6,1,2,22132,392,40.2
"1048",21109,13418,98,0,0,1,15880,330,39.4
"1049",21111,746580,70,20,2,4,27925,592,38
"1050",21113,49112,91,3,1,3,25637,558,36
"1051",21115,23377,98,0,1,1,19445,333,40.3
"1052",21117,160828,90,5,1,3,27704,599,36.4
"1053",21119,16217,98,1,0,1,18448,325,40.9
"1054",21121,31865,96,1,0,2,14367,365,38.9
"1055",21123,14149,92,3,0,3,19611,417,40.3
"1056",21125,59178,96,1,1,1,19923,418,38
"1057",21127,15877,98,0,1,0,17960,363,39.6
"1058",21129,7554,96,2,0,1,13969,267,41.9
"1059",21131,11220,98,0,0,0,16424,294,42.1
"1060",21133,24202,98,0,0,1,17886,340,41.3
"1061",21135,13859,98,0,0,1,16132,262,39.9
"1062",21137,24602,95,3,0,2,17420,404,39.8
"1063",21139,9467,97,1,0,1,19795,377,45.2
"1064",21141,26822,89,7,0,2,19143,400,40.7
"1065",21143,8394,92,6,1,1,22123,350,47.8
"1066",21145,65610,84,10,1,2,25957,466,42.3
"1067",21147,18163,90,6,0,2,11818,321,38.6
"1068",21149,9524,97,0,0,1,19984,315,41.9
"1069",21151,83976,90,4,1,2,21800,521,33.7
"1070",21153,13179,98,0,0,1,15118,322,39.6
"1071",21155,19943,87,10,1,2,18865,389,38.5
"1072",21157,31296,97,0,0,1,22381,434,44.3
"1073",21159,12835,92,5,0,2,15525,332,37.7
"1074",21161,17452,90,8,0,0,23347,418,40.8
"1075",21163,29028,90,4,1,3,20898,596,35.7
